,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,Class
1598,17,70,9.99,5.5,7.5,3.88,2.83,2.06,0.98,3.04,0
1599,5,13,3,1.5,3,3,0.5,0.2,0.9,1,0
1600,15,50,7,3.75,6.25,3.88,2.16,1.86,0.81,2.37,1
1601,18.02,60.06,7.51,4.2,4.8,3.44,1.78,1.26,1.24,1.3,0
1602,15,60,10,3.25,4.5,3.98,2.02,1.83,0.89,2.04,0
1603,16,65,9,6,7,4.75,1.88,1.89,1.02,2.72,0
1604,1.22,9.79,2.45,1.53,2.45,1.1,0.31,0.18,0.66,0.38,0
1605,3.26,13.96,5.58,1.81,2.56,1.58,0.44,0.25,0.61,0.47,0
1606,9.87,41.55,9.86,3.69,3.12,2.98,2.18,2.34,0.92,2.34,0
1607,15.58,62.32,8.31,4.67,3.64,1.61,2.32,1.13,1.16,1.86,1
1609,15.58,37.39,7.27,2.08,2.6,1.56,2.15,1.25,0.59,1.04,0
1610,7.4,31.69,5.28,1.48,2.11,1.98,0.97,0.83,1.24,0.93,1
1611,12.98,44.14,8.2,3.64,3.12,2.39,1.95,1.43,0.96,1.38,0
1612,10.45,32.15,7.5,1.93,2,2.3,1.03,0.54,1.47,1.5,0
1613,15.58,51.93,7.27,2.08,4.15,1.21,1.73,1.21,0.71,1.09,0
1614,4.66,27.95,5.59,1.58,2.8,1.57,0.91,0.63,0.97,1.2,0
1615,1.58,11.08,1.98,1.07,1.58,0.79,0.63,0.37,1.93,0.48,0
1617,12.46,51.93,7.27,3.12,3.12,1.54,1.95,0.97,0.81,1.17,1
1618,7.37,45.03,4.91,1.64,1.97,1.39,1.04,0.63,0.99,0.5,0
1619,7.96,31.86,6.37,1.86,2.12,1.72,1.13,0.76,1.21,0.75,1
1620,4.29,18.63,5.12,0.89,2.52,0.93,0.75,0.33,0.9,0.79,0
1622,4.06,8.12,3.25,0.95,1.35,0.81,0.51,0.36,0.7,0.49,0
1623,12.46,46.74,8.31,4.41,3.12,2.95,1.99,2.01,0.94,1.7,0
1624,15.58,77.9,9.35,5.3,5.19,3.59,1.86,1.51,1.18,1.72,1
1625,5.28,27.52,4.37,3.02,3.77,2.45,1.03,0.45,2.03,1.56,0
1626,1.83,8.15,3.67,1.02,1.83,0.71,0.44,0.41,0.76,0.48,0
1627,3.33,11.1,3.33,3,1.78,2.37,0.7,0.39,1.39,0.65,0
1628,7.78,35.79,6.36,1.95,3.11,2.76,0.92,0.75,1.06,1.67,1
1629,2.3,8.84,2.48,0.75,1.77,0.88,0.35,0.35,1.47,1.07,0
1630,16.02,61.17,17.48,7.87,6.7,3.5,2.21,1.48,1.68,2.47,1
1631,14.41,36.04,7.21,4.2,5.41,3.92,1.79,1.04,1.1,1.1,0
1632,1.36,3.25,1.98,0.95,1.08,0.27,0.19,0.14,0.73,0.19,0
1633,18.02,57.66,6.31,5.47,4.5,3.17,1.78,1.24,1.24,1.33,1
1634,16.62,83.1,8.83,4.67,4.57,3.01,2.6,2.16,1.06,2.02,1
1636,10.39,51.93,7.27,2.08,3.12,1.95,1.71,1.44,0.74,1.25,1
1637,12,60,8,5,5.25,4.31,2.89,1.58,1.17,3.92,1
